ID,Type of Object,Max Confidence,Avg Confidence,On-screen Duration
205,car,0.964958,0.855011,2.75263
222,car,0.967083,0.907511,1.2798
209,car,0.97328,0.870141,2.6787
231,car,0.920526,0.904652,0.218708
228,car,0.865823,0.816882,0.481582
199,car,0.956101,0.828587,3.91391
236,car,0.792939,0.734562,0.0812542
234,car,0.850077,0.805289,0.629155
213,car,0.972686,0.873984,3.45229
212,car,0.933139,0.808299,3.59852
225,car,0.944347,0.849867,2.5371
217,car,0.966209,0.875545,3.94057
220,car,0.9677,0.861342,3.90475
229,car,0.919642,0.785452,2.63423
221,car,0.96083,0.878311,3.94556
241,car,0.835543,0.824685,0.00925284
240,car,0.89929,0.768861,0.610136
239,car,0.901714,0.780747,0.612378
238,car,0.942745,0.879747,0.978375
237,car,0.892846,0.814312,1.07495
235,car,0.976412,0.902641,1.80523
232,car,0.965313,0.929754,2.07795
230,car,0.967178,0.893028,2.60979
227,car,0.956915,0.876584,2.99787
226,car,0.955848,0.839495,3.04142
218,car,0.96826,0.907075,4.17979
216,car,0.968991,0.882233,4.44453
210,car,0.97096,0.891183,4.87462
196,car,0.972244,0.927954,6.01406
195,car,0.960773,0.815991,6.03353
192,car,0.910773,0.780677,6.08019
233,car,0.96066,0.893361,1.92547
174,car,0.925231,0.699358,11.0989
166,car,0.958977,0.789705,11.5874
200,car,0.972365,0.871054,5.83883
242,car,0.879035,0.746513,0.540693
244,car,0.8376,0.611293,1.10638
257,car,0.263643,0.230494,0.442863
249,car,0.523271,0.363016,1.14306
245,car,0.941186,0.810521,2.53142
248,car,0.943951,0.798192,2.65611
262,car,0.425357,0.362564,0.352219
252,car,0.941351,0.782923,3.26036
246,car,0.94315,0.795689,3.45746
250,car,0.960886,0.763634,3.80416
254,car,0.937769,0.770343,3.65625
260,car,0.933794,0.786492,2.65508
256,car,0.919308,0.747884,3.7754
253,car,0.330967,0.250375,4.33323
258,car,0.945289,0.742013,4.177
259,car,0.932857,0.793882,3.34473
261,car,0.957163,0.794976,2.97477
275,car,0.66365,0.399205,0.15023
272,car,0.881257,0.597895,0.400537
282,car,0.87759,0.729169,0.101742
264,car,0.958079,0.807551,2.50183
284,car,0.654868,0.583775,0.0741139
287,car,0.757629,0.632868,0.126366
289,car,0.761746,0.633649,0.192266
279,car,0.946445,0.811266,0.963599
265,car,0.965212,0.800749,3.00289
263,car,0.937241,0.788113,3.85676
274,car,0.901047,0.70693,1.40662
292,car,0.783145,0.664848,0.195088
288,car,0.925748,0.772927,0.93474
283,car,0.964549,0.817485,1.29625
285,car,0.909296,0.781506,1.48709
268,car,0.962489,0.791532,3.46358
271,car,0.971794,0.830893,2.85381
295,car,0.971876,0.907565,1.04188
269,car,0.95236,0.819337,3.39251
267,car,0.935721,0.761433,4.12367
270,car,0.942664,0.827665,3.40297
305,car,0.805955,0.782343,0.0437377
300,car,0.856475,0.758713,0.779031
243,person,0.887116,0.518931,9.58262
266,car,0.953906,0.757835,4.60653
278,car,0.883439,0.649397,2.84134
251,person,0.860159,0.610431,8.31841
304,car,0.948542,0.917499,0.558841
296,car,0.767966,0.701155,1.59592
286,car,0.964958,0.855011,2.6323
303,car,0.967083,0.907511,1.28257
290,car,0.97328,0.870141,2.53481
309,car,0.865823,0.816882,0.466642
312,car,0.920526,0.904652,0.192306
280,car,0.956101,0.828587,3.93537
317,car,0.792939,0.734562,0.064916
315,car,0.850077,0.805289,0.580718
294,car,0.972686,0.873984,3.31577
293,car,0.933139,0.808299,3.46765
306,car,0.944347,0.849867,2.4639
298,car,0.966209,0.875545,3.84486
301,car,0.9677,0.861342,3.81344
310,car,0.919642,0.785452,2.54917
302,car,0.96083,0.878311,3.90192
322,car,0.835543,0.824685,0.00773103
321,car,0.89929,0.768861,0.630336
320,car,0.901714,0.780747,0.648995
319,car,0.942745,0.879747,1.00397
318,car,0.892846,0.814312,1.09828
316,car,0.976412,0.902641,1.75027
313,car,0.965313,0.929754,2.07425
311,car,0.967178,0.893028,2.58685
308,car,0.956915,0.876584,2.93843
307,car,0.955848,0.839495,2.98213
299,car,0.96826,0.907075,4.09727
297,car,0.968991,0.882233,4.32293
