ID,x_initial,y_initial,x_final,y_final,cluster,,X,Y,ID,Cluster,x_c0,y_c0,x_c1,y_c1,x_c2,y_c2,x_c3,y_c3,x_c4,y_c4,,,,,Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final,cluster,,,X,Y,ID,Cluster,,,,
72,522,63,509,94,1,,190,9,13,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,190,9,#N/A,#N/A,,,,,car,72,0.893,522,63,509,94,1,,,,,,,,,,
13,190,9,212,60,3,,95,75,5,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95,75,#N/A,#N/A,,,,,car,13,0.699,190,9,212,60,3,,,,,,,,,,
5,82,13,95,75,3,,298,8,34,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,298,8,#N/A,#N/A,,,,,car,5,0.790,82,13,95,75,3,,,,,,,,,,
34,298,8,305,46,3,,259,51,31,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,259,51,#N/A,#N/A,,,,,car,34,0.816,298,8,305,46,3,,,,,,,,,,
31,253,7,259,51,3,,478,6,35,1,#N/A,#N/A,478,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,31,0.781,253,7,259,51,3,,,,,,,,,,
35,478,6,503,41,1,,667,418,39,2,#N/A,#N/A,#N/A,#N/A,667,418,#N/A,#N/A,#N/A,#N/A,,,,,car,35,0.928,478,6,503,41,1,,,,,,,,,,
39,527,37,667,418,2,,680,78,81,2,#N/A,#N/A,#N/A,#N/A,680,78,#N/A,#N/A,#N/A,#N/A,,,,,car,39,0.871,527,37,667,418,2,,,,,,,,,,
81,680,78,911,406,2,,189,24,83,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,189,24,#N/A,#N/A,,,,,car,81,0.747,680,78,911,406,2,,,,,,,,,,
83,144,14,189,24,3,,477,7,84,0,477,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,car,83,0.611,144,14,189,24,3,,,,,,,,,,
84,477,7,279,512,0,,923,464,87,2,#N/A,#N/A,#N/A,#N/A,923,464,#N/A,#N/A,#N/A,#N/A,,,,,car,84,0.811,477,7,279,512,0,,,,,,,,,,
